#Thousand Word Corpus courtesy of ASBusinessMagnet
#Feel free to modify to your own accord

#File format: word,sPoint,nPoint,yPoint,mPoint
felicidad,4,3,1,2
tristeza,4,3,1,2
muerte,4,1,2,3
tragedia,4,1,2,3
solo,4,1,2,3
amor,4,2,1,3
aventura,4,3,1,2
dulce,4,2,1,3
emocion,4,2,1,3
pirotecnicos,4,3,2,1
romance,4,2,1,3
lagrimas,4,1,2,3
depresion,4,1,3,2
corazon,4,2,1,3
matrimonio,4,2,1,3
pasion,4,2,1,3
infancia,4,3,2,1
diversion,4,3,1,2
color,4,3,2,1
esperanza,4,2,3,1
amigos,4,3,1,2
familia,4,2,1,3
fiesta,4,3,2,1
vacaciones,4,3,1,2
perezoso,4,3,2,1
fantasia,4,1,2,3
dolor,4,2,3,1
vacaciones,4,3,1,2
cama,4,3,1,2
pluma,4,3,2,1
verguenza,4,2,3,1
miedo,4,1,3,2
calor,4,3,1,2
flor,4,3,1,2
confort,4,3,1,2
bailar,4,2,1,3
cantar,4,2,1,3
llorar,4,1,2,3
reir,4,3,1,2
oscuro,4,2,3,1
soleado,4,3,1,2
nube,4,3,2,1
calma,4,1,3,2
tonto,4,3,2,1
volando,4,3,2,1
maravilloso,4,3,2,1
unilateral,4,1,2,3
rosa,4,1,2,3
juntos,4,2,1,3
promesa,4,2,1,3
encanto,4,3,2,1
belleza,4,2,1,3
alegria,4,3,2,1
sonrisa,4,2,1,3
roto,4,1,2,3
precioso,4,2,1,3
oracion,4,1,3,2
torpe,4,3,2,1
perdonar,4,2,3,1
naturaleza,4,3,1,2
oceano,4,3,1,2
deslumbrar,4,3,2,1
especial,4,2,1,3
musica,4,2,1,3
suerte,4,3,2,1
desgracia,4,2,3,1
ruidoso,4,3,1,2
paz,4,1,3,2
alegria,4,1,3,2
puesta de sol,4,3,1,2
luciernagas,4,3,2,1
arcoiris,4,3,1,2
dolor,4,2,3,1
jugar,4,3,2,1
chispa,4,3,2,1
cicatrices,4,2,3,1
vacio,4,1,2,3
asombroso,4,3,2,1
pena,4,1,3,2
abrazo,4,1,2,3
extraordinario,4,2,1,3
impresionante,4,3,2,1
derrota,4,1,3,2
desesperado,4,1,2,3
miseria,4,1,3,2
tesoro,4,3,1,2
dicha,4,2,1,3
recuerdos,4,2,1,3
agradable,4,3,1,2
nostalgia,4,2,1,3
magico,4,1,2,3
afectuoso,4,1,2,3
frio,4,3,1,2
velas,4,1,2,3
grito,4,3,1,2
incidental,4,2,3,1
cielo,4,1,3,2
partida,4,1,3,2
notable,4,1,2,3
bollo,4,3,2,1
excepcional,4,2,1,3
dolor,4,2,3,1
vocal,4,3,1,2
apostar,4,2,3,1
esperar,4,2,3,1
imaginar,4,1,2,3
atractivo,4,1,2,3
sentir,4,3,1,2
fingir,4,3,2,1
banda,4,2,1,3
valiente,4,2,3,1
llovizna,4,3,1,2
reconocer,4,1,2,3
resplandeciente,4,1,3,2
insensible,4,1,3,2
debil,4,3,2,1
negro,4,2,3,1
iglesia,4,1,3,2
brillante,4,1,3,2
satisfecho,4,1,3,2
galletas,4,3,2,1
inanime,4,1,3,2
angustiado,4,1,3,2
forma,4,3,2,1
noche,4,3,1,2
inocente,4,3,2,1
pastel,4,3,2,1
exclamar,4,3,1,2
cancion,4,2,1,3
kinder,4,3,2,1
paseo,4,3,2,1
gritar,4,3,1,2
inesperado,4,2,3,1
pareja,4,1,2,3
chirrido,4,1,3,2
olvidar,4,2,3,1
dios,4,1,3,2
movimiento,4,3,2,1
parpadeo,4,1,2,3
fe,4,1,3,2
infantil,4,3,2,1
saborear,4,3,2,1
crecer,4,3,2,1
medianoche,4,2,3,1
escalar,4,3,2,1
agridulce,4,2,1,3
imagen,4,1,2,3
aflicion,4,1,3,2
bendecir,4,1,3,2
explorar,4,3,1,2
presencia,4,1,2,3
distraido,4,3,2,1
cuerda,4,1,3,2
disfrutar,4,1,3,2
rugir,4,3,1,2
descansar,4,3,1,2
envidia,4,1,2,3
descubrir,4,3,1,2
encantador,4,1,2,3
enfermo,4,2,3,1
caminando,4,1,3,2
envuelto,4,2,3,1
hojas,4,3,2,1
nervioso,4,1,3,2
esperar,4,2,3,1
imagen,4,1,2,3
cumplido,4,2,1,3
rechazo,4,1,2,3
preocupado,4,1,3,2
pasos,4,1,3,2
quedarse,4,1,2,3
paralizado,4,1,3,2
fuera,4,1,3,2
sol,4,3,1,2
incapaz,4,3,2,1
diferente,4,2,1,3
aligerar,4,1,3,2
repetir,4,2,3,1
escuchar,4,2,1,3
soledad,4,2,1,3
esposa,4,2,1,3
brisa,4,1,3,2
ruptura,4,1,2,3
animado,4,1,3,2
infantes,4,2,1,3
pastel,4,3,2,1
viajar,4,3,1,2
querido,4,1,2,3
placer,4,2,1,3
poco claro,4,2,3,1
abrazo,4,1,2,3
fracaso,4,1,3,2
letras,4,2,1,3
perplejo,4,2,3,1
rememorar,4,2,1,3
caricia,4,1,2,3
chillido,4,3,1,2
postre,4,3,2,1
accidente,4,2,3,1
temblar,4,1,2,3
marido,4,2,1,3
infierno,4,1,3,2
despistado,4,2,3,1
nunca,4,1,3,2
hermoso,4,1,2,3
ganar,4,2,3,1
dormir,4,3,1,2
eterno,4,2,1,3
canela,4,3,2,1
tropiezo,4,1,2,3
fortuna,4,2,3,1
oscurecer,4,2,3,1
recordar,4,2,3,1
cuidado,4,2,3,1
brillar,4,1,3,2
abrazar,4,1,2,3
trueno,4,3,1,2
apuesta,4,2,3,1
animar,4,2,3,1
duda,4,3,2,1
sincero,4,2,1,3
peor,4,1,2,3
amigo,4,1,2,3
luz,4,1,3,2
siesta,4,3,1,2
creer,4,2,3,1
adios,4,1,3,2
aburrimiento,4,3,1,2
indiferente,4,2,3,1
revisitar,4,2,1,3
perder,4,2,3,1
involuntario,4,2,3,1
lanzar,4,2,3,1
rayos,4,1,3,2
unico,4,2,1,3
error,4,1,2,3
aturdimiento,4,3,2,1
desafortunado,4,2,3,1
exclusivo,4,2,1,3
arrepentimiento,4,1,2,3
relampago,4,3,1,2
vaiven,4,2,3,1
lluvia,4,3,1,2
cansado,4,2,3,1
instrumento,4,2,1,3
reflexionar,4,1,3,2
loteria,4,2,3,1
pensamientos,4,2,1,3
grillos,4,3,1,2
casualidad,4,2,3,1
embrague,4,1,2,3
sujetar,4,1,2,3
lindo,2,4,1,3
esponjoso,3,4,2,1
puro,2,4,3,1
caramelo,3,4,2,1
compras,2,4,1,3
cachorro,2,4,1,3
gatito,2,4,1,3
nubes,3,4,2,1
pintalabios,1,4,2,3
parfait,2,4,1,3
fresa,3,4,2,1
rosa,2,4,1,3
chocolate,2,4,1,3
latido,1,4,2,3
beso,1,4,2,3
melodia,2,4,1,3
cinta,3,4,1,2
nervioso,2,4,1,3
dokidoki,2,4,1,3
kawaii,2,4,1,3
falda,3,4,1,2
mejillas,3,4,1,2
email,2,4,1,3
pegajoso,3,4,2,1
saltarina,2,4,1,3
brillante,3,4,2,1
mordisquear,3,4,2,1
fantasia,1,4,2,3
azucar,3,4,2,1
risita,3,4,1,2
malvavisco,3,4,2,1
saltar,3,4,1,2
saltar,3,4,1,2
paz,3,4,1,2
girar,3,4,1,2
giro,3,4,1,2
piruleta,3,4,2,1
puf,3,4,2,1
burbujas,3,4,1,2
susurro,3,4,1,2
verano,3,4,1,2
cascada,2,4,3,1
bikini,3,4,1,2
vainilla,3,4,2,1
auriculares,3,4,1,2
juegos,3,4,1,2
calcetines,3,4,1,2
cabello,2,4,1,3
parque,3,4,1,2
camison,1,4,3,2
manta,1,4,3,2
leche,3,4,2,1
mala cara,3,4,2,1
ira,3,4,1,2
papa,3,4,1,2
valentin,2,4,1,3
raton,2,4,3,1
silbido,3,4,1,2
boop,3,4,1,2
conejito,2,4,1,3
anime,2,4,1,3
saltar,3,4,1,2
razonar,1,4,3,2
comprender,1,4,2,3
aspero,3,4,2,1
revelar,1,4,2,3
trenzar,2,4,1,3
desencadenar,1,4,3,2
maton,2,4,3,1
asco,3,4,2,1
bam,3,4,2,1
loco,3,4,2,1
conejo,2,4,3,1
coletas,2,4,1,3
balancin,3,4,1,2
extranjero,1,4,2,3
dentifrico,1,4,2,3
manga,2,4,1,3
odio,2,4,3,1
pulsera,1,4,2,3
rumor,2,4,3,1
jadeo,1,4,2,3
bandeja,1,4,2,3
cola de caballo,2,4,1,3
envoltura,2,4,1,3
rechazo,1,4,3,2
mar,1,4,3,2
resolver,1,4,3,2
explicar,1,4,2,3
playa,1,4,3,2
eructo,3,4,2,1
broma,2,4,3,1
momentaneo,1,4,2,3
destierro,1,4,3,2
excluir,1,4,3,2
trigo,2,4,3,1
suave,3,4,2,1
ducha,1,4,2,3
pensativo,1,4,2,3
pajaro,2,4,3,1
competente,1,4,2,3
bigotes,2,4,1,3
boom,3,4,2,1
ruptura,3,4,2,1
regalo,2,4,1,3
ilogico,1,4,3,2
inmaduro,1,4,3,2
marioneta,1,4,2,3
detective,3,4,2,1
paraguas,1,4,2,3
sugoi,2,4,1,3
gesto,3,4,1,2
barcos,1,4,3,2
olas,1,4,3,2
molestar,2,4,3,1
mull,1,4,3,2
botellas,1,4,3,2
fiesta-de-pijamas,1,4,3,2
mal,2,4,3,1
tocar,1,4,2,3
sustancial,3,4,2,1
interrumpir,1,4,3,2
corresponder,1,4,3,2
llamada,2,4,3,1
lenguaje,1,4,2,3
fluido,1,4,2,3
inoportuno,1,4,3,2
explicacion,3,4,2,1
traicionar,2,4,3,1
sospechoso,3,4,2,1
zorro,2,4,3,1
extracto,1,4,3,2
ausencia,1,4,3,2
orilla,1,4,3,2
galimatias,1,4,2,3
champu,1,4,2,3
sonrisa,3,4,1,2
jugueton,2,4,3,1
baka,2,4,1,3
maiz,2,4,3,1
mimo,3,4,1,2
jive,2,4,3,1
bosque,2,4,3,1
anecdota,2,4,3,1
internet,2,4,1,3
quejosa,3,4,2,1
apretar,3,4,1,2
maleta,1,4,2,3
organizacion,1,4,2,3
impedir,2,4,3,1
rayo,3,4,1,2
golpear,3,4,1,2
sorpresa,2,4,1,3
mayonesa,3,4,2,1
conflicto,1,4,3,2
magdalenas,3,4,2,1
higiene,1,4,2,3
razonable,1,4,2,3
indignante,1,4,3,2
tostadas,3,4,2,1
huevos,3,4,2,1
alien,1,4,2,3
columpios,3,4,1,2
emoji,2,4,1,3
insulto,2,4,3,1
florido,1,4,3,2
trampa,3,4,1,2
inteligente,1,4,2,3
campo,2,4,3,1
deducir,3,4,2,1
online,2,4,1,3
aplastar,3,4,2,1
rodando,1,4,3,2
guau,3,4,2,1
